pid,inicio,fim,num_tracks
0,1,53,52
1,54,93,39
2,94,158,64
3,159,285,126
4,286,303,17
5,304,384,80
6,385,401,16
7,402,455,53
8,456,502,46
9,503,524,21
10,525,597,72
11,598,732,134
12,733,742,9
13,743,756,13
14,757,860,103
15,861,868,7
16,869,974,105
17,975,1054,79
18,1055,1123,68
19,1124,1209,85
20,1210,1224,14
21,1225,1240,15
22,1241,1283,42
23,1284,1304,20
24,1305,1312,7
25,1313,1354,41
26,1355,1381,26
27,1382,1394,12
28,1395,1476,81
29,1477,1517,40
30,1518,1675,157
31,1676,1773,97
32,1774,1880,106
33,1881,1898,17
34,1899,1979,80
35,1980,2050,70
36,2051,2060,9
37,2061,2133,72
38,2134,2187,53
39,2188,2246,58
40,2247,2332,85
41,2333,2542,209
42,2543,2701,158
43,2702,2723,21
44,2724,2757,33
45,2758,2834,76
46,2835,2846,11
47,2847,2862,15
48,2863,2895,32
49,2896,2941,45
50,2942,2997,55
51,2998,3052,54
52,3053,3068,15
53,3069,3174,105
54,3175,3180,5
55,3181,3332,151
56,3333,3352,19
57,3353,3372,19
58,3373,3411,38
59,3412,3548,136
60,3549,3615,66
61,3616,3629,13
62,3630,3663,33
63,3664,3702,38
64,3703,3808,105
65,3809,3942,133
66,3943,4024,81
67,4025,4033,8
68,4034,4208,174
69,4209,4227,18
70,4228,4302,74
71,4303,4329,26
72,4330,4527,197
73,4528,4562,34
74,4563,4568,5
75,4569,4583,14
76,4584,4616,32
77,4617,4641,24
78,4642,4658,16
79,4659,4675,16
80,4676,4742,66
81,4743,4807,64
82,4808,4833,25
83,4834,4903,69
84,4904,4943,39
85,4944,5016,72
86,5017,5059,42
87,5060,5084,24
88,5085,5151,66
89,5152,5244,92
90,5245,5348,103
91,5349,5417,68
92,5418,5426,8
93,5427,5525,98
94,5526,5650,124
95,5651,5821,170
96,5822,5841,19
97,5842,6075,233
98,6076,6157,81
99,6158,6200,42
100,6201,6223,22
101,6224,6246,22
102,6247,6295,48
103,6296,6473,177
104,6474,6539,65
105,6540,6655,115
106,6656,6770,114
107,6771,6833,62
108,6834,6903,69
109,6904,7036,132
110,7037,7070,33
111,7071,7095,24
112,7096,7161,65
113,7162,7181,19
114,7182,7205,23
115,7206,7400,194
116,7401,7413,12
117,7414,7427,13
118,7428,7466,38
119,7467,7490,23
120,7491,7594,103
121,7595,7763,168
122,7764,7784,20
123,7785,8030,245
124,8031,8207,176
125,8208,8261,53
126,8262,8312,50
127,8313,8339,26
128,8340,8358,18
129,8359,8453,94
130,8454,8659,205
131,8660,8759,99
132,8760,8770,10
133,8771,8791,20
134,8792,9025,233
135,9026,9079,53
136,9080,9112,32
137,9113,9137,24
138,9138,9268,130
139,9269,9313,44
140,9314,9385,71
141,9386,9408,22
142,9409,9518,109
143,9519,9556,37
144,9557,9617,60
145,9618,9664,46
146,9665,9863,198
147,9864,9874,10
148,9875,10016,141
149,10017,10051,34
150,10052,10182,130
151,10183,10225,42
152,10226,10315,89
153,10316,10345,29
154,10346,10396,50
155,10397,10421,24
156,10422,10610,188
157,10611,10633,22
158,10634,10736,102
159,10737,10770,33
160,10771,10778,7
161,10779,10940,161
162,10941,10982,41
163,10983,11044,61
164,11045,11091,46
165,11092,11102,10
166,11103,11158,55
167,11159,11233,74
168,11234,11246,12
169,11247,11381,134
170,11382,11434,52
171,11435,11464,29
172,11465,11506,41
173,11507,11602,95
174,11603,11619,16
175,11620,11638,18
176,11639,11780,141
177,11781,11806,25
178,11807,11877,70
179,11878,11899,21
180,11900,11917,17
181,11918,11945,27
182,11946,12117,171
183,12118,12203,85
184,12204,12254,50
185,12255,12376,121
186,12377,12418,41
187,12419,12436,17
188,12437,12454,17
189,12455,12521,66
190,12522,12592,70
191,12593,12615,22
192,12616,12653,37
193,12654,12668,14
194,12669,12799,130
195,12800,12868,68
196,12869,12898,29
197,12899,12956,57
198,12957,12982,25
199,12983,13062,79
200,13063,13077,14
201,13078,13124,46
202,13125,13189,64
203,13190,13237,47
204,13238,13248,10
205,13249,13298,49
206,13299,13304,5
207,13305,13349,44
208,13350,13440,90
209,13441,13493,52
210,13494,13617,123
211,13618,13697,79
212,13698,13844,146
213,13845,13862,17
214,13863,14020,157
215,14021,14062,41
216,14063,14092,29
217,14093,14241,148
218,14242,14340,98
219,14341,14371,30
220,14372,14440,68
221,14441,14456,15
222,14457,14474,17
223,14475,14595,120
224,14596,14711,115
225,14712,14792,80
226,14793,14904,111
227,14905,14960,55
228,14961,15137,176
229,15138,15156,18
230,15157,15181,24
231,15182,15411,229
232,15412,15462,50
233,15463,15468,5
234,15469,15512,43
235,15513,15553,40
236,15554,15602,48
237,15603,15695,92
238,15696,15718,22
239,15719,15843,124
240,15844,15878,34
241,15879,16030,151
242,16031,16049,18
243,16050,16173,123
244,16174,16241,67
245,16242,16304,62
246,16305,16372,67
247,16373,16391,18
248,16392,16417,25
249,16418,16449,31
250,16450,16481,31
251,16482,16510,28
252,16511,16607,96
253,16608,16686,78
254,16687,16724,37
255,16725,16757,32
256,16758,16824,66
257,16825,16862,37
258,16863,16901,38
259,16902,16990,88
260,16991,17046,55
261,17047,17065,18
262,17066,17211,145
263,17212,17256,44
264,17257,17445,188
265,17446,17566,120
266,17567,17579,12
267,17580,17618,38
268,17619,17654,35
269,17655,17682,27
270,17683,17862,179
271,17863,17885,22
272,17886,17899,13
273,17900,17917,17
274,17918,17977,59
275,17978,18044,66
276,18045,18057,12
277,18058,18104,46
278,18105,18110,5
279,18111,18208,97
280,18209,18264,55
281,18265,18323,58
282,18324,18358,34
283,18359,18467,108
284,18468,18541,73
285,18542,18641,99
286,18642,18684,42
287,18685,18711,26
288,18712,18760,48
289,18761,18771,10
290,18772,18807,35
291,18808,18878,70
292,18879,18917,38
293,18918,18975,57
294,18976,19059,83
295,19060,19107,47
296,19108,19143,35
297,19144,19225,81
298,19226,19275,49
299,19276,19310,34
300,19311,19328,17
301,19329,19350,21
302,19351,19456,105
303,19457,19500,43
304,19501,19549,48
305,19550,19576,26
306,19577,19606,29
307,19607,19631,24
308,19632,19649,17
309,19650,19697,47
310,19698,19749,51
311,19750,19806,56
312,19807,19830,23
313,19831,19837,6
314,19838,19876,38
315,19877,19906,29
316,19907,19961,54
317,19962,19992,30
318,19993,20004,11
319,20005,20068,63
320,20069,20095,26
321,20096,20127,31
322,20128,20163,35
323,20164,20194,30
324,20195,20269,74
325,20270,20304,34
326,20305,20406,101
327,20407,20425,18
328,20426,20549,123
329,20550,20639,89
330,20640,20819,179
331,20820,20955,135
332,20956,21016,60
333,21017,21072,55
334,21073,21197,124
335,21198,21341,143
336,21342,21347,5
337,21348,21356,8
338,21357,21475,118
339,21476,21602,126
340,21603,21626,23
341,21627,21836,209
342,21837,22004,167
343,22005,22037,32
344,22038,22073,35
345,22074,22090,16
346,22091,22103,12
347,22104,22132,28
348,22133,22335,202
349,22336,22362,26
350,22363,22446,83
351,22447,22506,59
352,22507,22535,28
353,22536,22559,23
354,22560,22624,64
355,22625,22695,70
356,22696,22734,38
357,22735,22896,161
358,22897,22972,75
359,22973,23027,54
360,23028,23160,132
361,23161,23240,79
362,23241,23477,236
363,23478,23579,101
364,23580,23626,46
365,23627,23755,128
366,23756,23765,9
367,23766,23884,118
368,23885,23910,25
369,23911,23971,60
370,23972,24016,44
371,24017,24032,15
372,24033,24043,10
373,24044,24107,63
374,24108,24230,122
375,24231,24313,82
376,24314,24402,88
377,24403,24425,22
378,24426,24495,69
379,24496,24595,99
380,24596,24730,134
381,24731,24785,54
382,24786,24800,14
383,24801,24832,31
384,24833,24879,46
385,24880,24907,27
386,24908,24931,23
387,24932,24937,5
388,24938,24967,29
389,24968,25142,174
390,25143,25173,30
391,25174,25242,68
392,25243,25331,88
393,25332,25404,72
394,25405,25428,23
395,25429,25490,61
396,25491,25643,152
397,25644,25666,22
